ISIN,Security_Code,Security_Name
INE160A01022,PNB,Punjab National Bank
INE477A01020,CANFINHOME,Can Fin Homes Limited
INE083A01026,MOREPENLAB,MOREPEN LABORATORIES LTD
INE371A01025,GRAPHITE,Graphite India Ltd
INE330H01018,RCOM,RELIANCE COMMUNICATIONS L
INE018E01016,SBICARD,SBI Cards and Payment Services Limited
INE053F01010,IRFC,Indian Railway Finance Corporation Limited
INE09VQ01012,INDIGOPNTS,Indigo Paints Ltd
INE891D01026,REDINGTON,Redington India Ltd.
INE758T01015,ZOMATO,Eternal Ltd
INF769K01101,112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth
INE030A01027,HUL,Hindustan Unilever Ltd
INE002A01018,RIL,Reliance Industries Ltd
INE154A01025,ITC,ITC Ltd
INE009A01021,INFOSYSTECH,Infosys Ltd
INF200KA15E8,149886,SBI Multicap Fund- Regular Plan- Growth Option
INF769K01IC9,MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF
INF846K016H6,149896,Axis Nifty Smallcap 50 Index Fund - Regular Plan - Growth Option
INE040H01021,SUZLON,Suzlon Energy Ltd
INE0J1Y01017,LICI,Life Insurance Corporation Of India
INE550C01020,URJA,Urja Global Ltd
INE081A01020,TATASTEEL,Tata Steel Ltd
INE0DYJ01015,SYRMA,Syrma SGS Technology Limited
INE0JS101016,DREAMFOLKS,Dreamfolks Services Ltd
INF179KC1EB5,150803,HDFC Business Cycle Fund - Growth Option
INF179KC1EC3,150806,HDFC Business Cycle Fund - IDCW Option
INE136B01020,CYIENT,Cyient Limited
INF204KB17I5,105085,Nippon India ETF Gold BeES
INE365D01021,ASHIANA,Ashiana Housing Ltd
INE292B01021,HBLPOWER,HBL Engineering Ltd
INE619B01017,NEWGEN,Newgen Software Technologies Ltd
INE191B01025,WELCORP,Welspun Corp Limited
INE540H01012,VOLTAMP,Voltamp Transformers Limited
INE619A01035,RUCHI,Patanjali Foods Ltd
INE839M01018,SCHNEIDER,Schneider Electric Infrastructure Ltd
INE127I01024,GOODLUCK,GOOD LUCK STEEL TUBE LTD.
INE758E01017,RSIL,Jio Financial Services Ltd
INE07Y701011,ABBPOWER,Hitachi Energy India Ltd
INE202E01016,INDRENED,Indian Renewable Energy Development Agency Ltd
INE848E01016,NHPC,NHPC Ltd
INE069I01010,IBREALESTATE,Embassy Developments Ltd
INF179KC1GL9,151751,HDFC Defence Fund - Growth Option
INE004A01022,NSDEOVI1,Protean Egov Technologies Ltd
INE345A01011,HINDOILEXP,Hindustan Oil Exploration Company Ltd
INF200K01560,102941,SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH
INF204K01HY3,113177,Nippon India Small Cap Fund - Growth Plan - Growth Option
INE041025011,EMBASSYREIT,EMBASSY OFFICE PARKS REIT
INE062A01020,SBI,State Bank of India
INF200KB1290,152774,SBI Innovative Opportunities Fund - Regular Plan - Growth
INE377Y01014,BAJHOUFI,Bajaj Housing Finance Ltd
INF200KB1357,152906,SBI Nifty 500 Index Fund- Regular Plan- Growth
INF769K01MS7,153009,Mirae Asset Gold ETF Fund of Fund - Regular Plan - Growth
INF769K01MA5,152970,Mirae Asset Nifty Total Market Index Fund - Regular Plan - Growth
INE995S01015,NIVBUPHI,Niva Bupa Health Insurance Company Ltd
INE0ONG01011,NTPGREEN,NTPC Green Energy Ltd
INE276G01015,530355,Asian Energy Services Limited
INE379A01028,ITCHOTLTD,ITC Hotels Ltd
INE013P01021,ONESOURCE,OneSource Specialty Pharma Ltd
INE927D01051,JBMA,JBM Auto Ltd
INE797F01020,JUBLFOOD,Jubilant Foodworks Limited
INE552Z01027,ALLBLEAD,Allied Blenders and Distillers Ltd
INE0ILV01024,CAPTECH1,Capillary Technologies India Ltd
INF247L01FQ0,MONMM5E_SC,Motilal Oswal Nifty Midcap150 Momentum 50 ETF
INF846KA1119,ANV5E_SC,Axis Nifty500 Value 50 ETF
INF754K01TF1,ENMMQ5E_SC,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF
INF740KA1QL0,DSPQ50ETF,DSP Nifty Midcap 150 Quality 50 ETF
INF769K01HI8,MAFSETF,Mirae Asset Nifty Financial Services ETF
INF740KA1SY9,DNPBE01_SC,DSP Nifty PSU Bank ETF
INF769K01LC3,MANS2MQ1E_SC,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
INF109KC19W1,IPNME_SC,ICICI Prudential Nifty Metal ETF
INF247L01DJ0,MONIDE_SC,Motilal Oswal Nifty India Defence ETF
INE095N01031,NBCC,NBCC India Limited
INF846K01W80,113434,AXIS MUTUAL FUND - GOLD ETF
INF109KC16I6,ICICITECH,ICICI Prudential Nifty IT ETF
INE881D01027,ORACLEFSS,Oracle Financial Services Software Ltd
,TDSACCOUNT,Tax Deducted at Source
,CASH,CASH
INF789F1AUV1,UTIBANKETF,UTI NIFTY BANK ETF
INF740KA1SW3,DSPGOLDETF,DSP Gold ETF
INE814H01029,ADANIPOWER,Adani Power Ltd
INE397D01024,BHARTI,Bharti Airtel Ltd
INE129A01019,GAIL,GAIL India Ltd
INF740KA1RE3,DSPSILVETF,DSP Silver ETF
INF109KC1Y56,SILVERIETF,ICICI Prudential Silver ETF
INF846K013H3,149894,Axis Nifty Smallcap 50 Index Fund-Direct Plan-Growth Option
INF200K01UY4,119732,SBI PSU Fund - Direct - Growth
INF740KA1RB9,150428,DSP Nifty Midcap 150 Quality 50 Index Fund-Direct-Growth
INE0IX101010,DATAPATTNS,Data Patterns INDIA Limited
INE249Z01020,MAZDOCK,Mazagon Dock Shipbuilders Ltd
INF740KA1MG9,146381,DSP Nifty Next 50 Index Fund - Direct - Growth
INE262H01021,PERSISTENT,Persistent Systems Ltd
INE343H01029,SOLARINDS,SOLAR INDUSTRIES INDIA LTD
INE118H01025,BSE,BSE Limited
INE382Z01011,GRSE,Garden Reach Shipbuilders & Engineers Limited
INE596I01020,CAMS,Computer Age Management Services Ltd
INE419M01027,TDPOWERSYS,TD Power Systems Limited
INF846K01DS2,120473,Axis Gold Fund - Direct Plan - Growth option
INE947Q01028,LAURUSLABS,Laurus Labs Ltd
INE733E01010,NTPC,NTPC LTD
INE490G01020,MOIL,MOIL LTD
INE414G01012,MUTHOOTFIN,Muthoot Finance Limited
INE944F01028,RADICO,Radico Khaitan Ltd
INE591G01025,NIITTECH,Coforge Ltd
INE930H01031,KPRMILL,K.P.R. Mill Ltd
INE238A01034,AXIS,Axis Bank Ltd
INE406A01037,AUROPHARMA,Aurobindo Pharma Limited
INE296A01032,BAJAUTOFIN,Bajaj Finance Ltd
INE066A01021,EICHERMOT,Eicher Motors Ltd
INE298A01020,CUMMINSIND,Cummins India Ltd
INE935A01035,GLENMARK,Glenmark Pharma Ltd
INE421D01022,CCL,CCL PRODUCTS INDIA LTD.
INE959A01019,ADIFINECH,Privi Speciality Chemicals Ltd
INF457M01133,CPSEETF,GOLDMAN SACHS CPSE ETF
INE176B01034,HAVELLS,Havells India Ltd
INE660A01013,SUNDARMFIN,Sundaram Finance Limited
INE494B01023,TVSMOTOR,TVS Motor Company Ltd
INF740KA1QK2,DSPNEWETF,DSP Nifty 50 Equal Weight ETF
INF769K01FN2,MANXT50,Mirae Asset Nifty Next 50 ETF
INF109KC18W3,IPNONGE_SC,ICICI Prudential Nifty Oil and Gas ETF
INE686Y01026,FINEORG,Fine Organic Industries Limited
INE417T01026,POLICYBZR,PB Fintech Ltd
INE192R01011,DMART,AVENUE SUPERMARTS LIMITED
INE038A01020,HINDALCO,Hindalco Industries Ltd
INE917I01010,BAJAJAUTO,Bajaj Auto Ltd
INE017A01032,GESHIP,The Great Eastern Shipping Company Limited
INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Ltd
INE765G01017,ICICIGI,ICICI Lombard General Insurance Company Ltd
INE481G01011,ULTRATECH,Ultratech Cement Ltd
INE200M01039,VBL,Varun Beverages Ltd
INE795G01014,HDFCLIFE,HDFC Standard Life Insurance Company Ltd
INE980Y01015,SOUWESPE,South West Pinnacle Exploration Ltd
INE0V6F01027,HYUMOTOR,Hyundai Motor India Ltd
INE528G01035,YESBANK,Yes Bank Limited
INE205A01025,SESAGOA,Vedanta Limited
INE669C01036,TECHMAHINDRA,Tech Mahindra Ltd
INE467B01029,TCS,Tata Consultancy Services Ltd
INE318A01026,PIDILITIND,Pidilite Industries Ltd.
INE020B01018,RECLTD,REC Limited
INE584A01023,NMDC,NMDC LTD
INE213A01029,ONGC,Oil and Natural Gas Corporation Limited
INE323A01026,BOSCHLTD,BOSCH Ltd
INE117A01022,ABB,ABB India Ltd
INE006I01046,ASTRAL1,Astral Ltd.
INE513A01022,FAGBEARING,Schaeffler India Ltd
INE257A01026,BHEL,Bharat Heavy Electricals Ltd
INE916U01025,SFL,Sheela Foam Limited
INF769K01KU7,MAN2A3E_SC,Mirae Asset Nifty 200 Alpha 30 ETF
INE139A01034,NATIONALUM,NATIONAL ALUMINIUM COMPANY LTD
